,Subjects,Mean elbow rot
0,S01,0.04037611475975246
1,S02,0.036576811890721164
2,S03,0.03499630351609242
3,S04,0.04460558364195025
4,S05,0.04818373830868694
5,S06,0.05629267000981027
6,S07,0.05451531395429272
7,S08,0.028859401060864806
8,S09,0.04341172655050379
9,S10,0.028806133186716765
10,S11,0.04359957670394769
11,S12,0.05059652863947983
12,S13,0.05988587211527113
13,S14,0.05559056676030503
14,S15,0.03275625642556632
15,S16,0.05555529313882393
